V 0.10
Date: 2,7,2019
countsec,Pascal,Kalman_Height,mpuPitch,mpuRoll,mpuYaw,OutputX,OutputY
17996,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18131,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18267,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18406,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18542,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18677,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18812,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
18949,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
19084,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
19219,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
19355,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
19490,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
19625,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
19765,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
19901,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
20036,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
20171,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
20307,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
20443,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
20578,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
20714,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
20849,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
20985,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
21124,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
21260,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
21395,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
21530,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
21666,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
21801,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
21937,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
22073,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
22208,121.19,93964.00,0.000.00,0.00,0.00,0.00,0.00
22343,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
22482,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
22619,121.28,93963.00,0.000.00,0.00,0.00,0.00,0.00
22754,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
22889,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
23025,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
23160,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
23296,121.37,93962.00,0.000.00,0.00,0.00,0.00,0.00
23432,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
23567,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
23702,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
23841,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
23977,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
24113,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
24248,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
24384,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
24519,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
24654,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
24791,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
24926,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
25065,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25200,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25336,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
25472,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25607,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25743,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
25878,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
