V 0.10
Date: 2,7,2019
Height,Pascal,Kalman_Height,mpuPitch,mpuRoll,mpuYaw,OutputX,OutputY
17978,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
18114,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
18249,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
18384,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
18521,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
18656,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
18791,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
18930,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
19065,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
19202,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
19337,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
19472,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
19607,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
19743,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
19878,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
20014,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
20150,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
20288,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
20424,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
20559,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
20695,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
20831,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
20966,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
21101,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
21236,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
21372,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
21508,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
21647,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
21782,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
21917,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
22053,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
22189,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
22324,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
22460,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
